quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,no_of_workers,actual_productivity,productivity_difference
0,0,1,3,0.75,3.94,1190.4659913169319,1560.0,0,8.0,0.945277778,0.195277778
0,0,1,1,0.8,3.94,1190.4659913169319,960.0,0,8.0,0.902916667,0.1029166669999999
0,1,1,1,0.8,28.08,772.0,6300.0,50,56.5,0.800725314,0.0007253139999999769
0,1,1,3,0.8,28.08,913.0,6540.0,50,54.5,0.800322936,0.0003229359999999959
0,1,1,8,0.8,26.16,1261.0,7080.0,50,59.0,0.800318644,0.00031864399999992354
0,1,1,12,0.8,26.16,844.0,7080.0,63,59.0,0.800318644,0.00031864399999992354
0,1,1,11,0.8,11.61,1005.0,7080.0,50,29.5,0.800237288,0.00023728800000000216
0,1,1,5,0.8,11.61,659.0,7080.0,50,31.5,0.800148649,0.0001486490000000007
0,1,1,6,0.8,25.9,1152.0,6720.0,50,56.0,0.800125,0.00012499999999993072
0,1,1,7,0.8,25.9,1138.0,6720.0,38,56.0,0.800125,0.00012499999999993072
0,1,1,10,0.75,19.31,610.0,6480.0,56,54.0,0.787299691,0.03729969099999997
0,0,1,2,0.8,4.15,1190.4659913169319,960.0,0,8.0,0.782447917,-0.017552082999999996
0,1,1,2,0.75,19.87,944.0,6600.0,45,55.0,0.75024303,0.00024303000000003294
0,0,1,10,0.7,4.15,1190.4659913169319,960.0,0,8.0,0.7018125,0.0018124999999999947
0,1,1,4,0.7,23.69,544.0,13800.0,0,60.0,0.700134038,0.000134038000000003
0,1,1,9,0.7,28.08,1072.0,6900.0,40,57.5,0.699965217,-3.478299999992718e-05
0,0,1,8,0.8,2.9,1190.4659913169319,960.0,0,8.0,0.628333333,-0.171666667
0,0,1,7,0.8,3.94,1190.4659913169319,960.0,0,8.0,0.6253125,-0.1746875
0,0,2,3,0.75,4.15,1190.4659913169319,1560.0,0,8.0,0.991388889,0.241388889
0,0,2,9,0.8,3.94,1190.4659913169319,960.0,0,8.0,0.931645833,0.131645833
0,0,2,1,0.8,3.94,1190.4659913169319,960.0,0,8.0,0.915229167,0.11522916699999997
0,1,2,6,0.8,11.61,539.0,6975.0,50,31.0,0.879714482,0.07971448199999998
0,0,2,4,0.8,3.94,1190.4659913169319,6600.0,0,20.0,0.861679012,0.06167901199999992
0,1,2,9,0.8,26.16,1278.0,7080.0,60,59.0,0.850569492,0.05056949199999994
0,1,2,7,0.8,25.9,1227.0,7020.0,60,56.5,0.850436438,0.05043643799999997
0,1,2,8,0.8,25.9,1039.0,6780.0,45,56.5,0.850345133,0.050345132999999986
0,1,2,4,0.8,28.08,878.0,4260.0,50,55.5,0.800598058,0.0005980579999999014
0,1,2,1,0.8,26.16,1033.0,7080.0,63,59.0,0.800318644,0.00031864399999992354
0,1,2,2,0.8,28.08,782.0,6660.0,50,55.5,0.800237838,0.00023783799999999022
0,1,2,12,0.8,11.61,1216.0,6975.0,50,31.0,0.800030199,3.0199000000008525e-05
0,0,2,2,0.8,3.94,1190.4659913169319,960.0,0,8.0,0.792104167,-0.007895833000000074
0,0,2,10,0.7,3.94,1190.4659913169319,4320.0,0,18.0,0.759228395,0.05922839499999999
0,1,2,11,0.75,19.31,513.0,6480.0,45,54.0,0.750348457,0.0003484569999999687
0,1,2,3,0.75,19.87,734.0,6600.0,45,55.0,0.75024303,0.00024303000000003294
0,1,2,10,0.7,28.08,1202.0,6900.0,40,57.5,0.699965217,-3.478299999992718e-05
0,0,2,8,0.8,2.9,1190.4659913169319,960.0,0,8.0,0.682708333,-0.11729166700000004
0,0,2,7,0.8,2.9,1190.4659913169319,960.0,0,8.0,0.667604167,-0.13239583300000002
0,1,2,5,0.7,45.67,884.0,6960.0,26,58.0,0.603432184,-0.09656781599999997
0,0,2,11,0.75,4.15,1190.4659913169319,960.0,0,8.0,0.4276613622499999,-0.3223386377500001
0,0,0,1,0.8,3.94,1190.4659913169319,1920.0,0,8.0,0.961059028,0.16105902799999994
0,0,0,11,0.8,3.94,1190.4659913169319,2400.0,0,10.0,0.939513889,0.13951388899999995
0,0,0,4,0.8,3.94,1190.4659913169319,3840.0,0,16.0,0.893663194,0.093663194
0,0,0,3,0.75,4.15,1190.4659913169319,1920.0,0,8.0,0.875390625,0.12539062499999998
0,1,0,9,0.8,26.16,1227.0,7080.0,75,59.0,0.850569492,0.05056949199999994
0,0,0,9,0.8,2.9,1190.4659913169319,1920.0,0,8.0,0.820833333,0.02083333300000001
0,0,0,2,0.8,3.94,1190.4659913169319,960.0,0,8.0,0.804416667,0.004416666999999985
0,1,0,7,0.8,25.9,1255.0,6780.0,50,56.5,0.800684366,0.0006843659999999918
0,1,0,8,0.8,25.9,1047.0,6780.0,38,56.5,0.800684366,0.0006843659999999918
0,1,0,1,0.8,26.16,1138.0,7080.0,63,59.0,0.800318644,0.00031864399999992354
0,1,0,11,0.8,19.31,678.0,4800.0,50,55.0,0.800250962,0.0002509619999999657
0,1,0,6,0.8,11.61,712.0,7200.0,50,32.0,0.800246011,0.00024601099999999043
0,1,0,12,0.8,11.61,1037.0,7200.0,50,32.0,0.800246011,0.00024601099999999043
0,1,0,2,0.8,28.08,757.0,6900.0,50,57.5,0.800076522,7.652199999996778e-05
0,1,0,4,0.8,28.08,759.0,6900.0,50,57.5,0.800076522,7.652199999996778e-05
0,0,0,10,0.75,2.9,1190.4659913169319,960.0,0,8.0,0.763375,0.013375000000000026
0,0,0,5,0.6,2.9,1190.4659913169319,960.0,0,8.0,0.759270833,0.159270833
0,1,0,10,0.75,28.08,1083.0,7020.0,45,58.5,0.7504,0.00039999999999995595
0,1,0,3,0.75,19.87,944.0,6600.0,45,55.0,0.75024303,0.00024303000000003294
0,0,0,7,0.8,3.94,1190.4659913169319,960.0,0,8.0,0.676666667,-0.12333333300000004
0,0,0,8,0.8,2.9,1190.4659913169319,960.0,0,8.0,0.664583333,-0.135416667
0,1,0,5,0.6,21.98,666.0,6960.0,23,58.0,0.600028736,2.873599999997367e-05
0,0,4,4,0.8,3.94,1190.4659913169319,4440.0,0,18.0,0.966781346,0.16678134599999994
0,0,4,1,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.936496212,0.13649621199999995
0,0,4,3,0.75,4.15,1190.4659913169319,1800.0,0,10.0,0.899166667,0.14916666700000003
0,0,4,11,0.8,4.15,1190.4659913169319,2700.0,0,15.0,0.888686869,0.088686869
0,0,4,9,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.858143939,0.05814393899999992
0,1,4,1,0.8,26.16,1187.0,10620.0,75,59.0,0.850502311,0.05050231099999991
0,1,4,9,0.8,26.16,1305.0,10620.0,75,59.0,0.850502311,0.05050231099999991
0,0,4,10,0.75,3.94,1190.4659913169319,1440.0,0,8.0,0.809640152,0.059640151999999946
0,0,4,2,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.805909091,0.005909090999999922
0,1,4,2,0.8,28.08,716.0,10350.0,50,57.5,0.800594466,0.0005944659999999047
0,1,4,4,0.8,28.08,925.0,10350.0,50,57.5,0.800594466,0.0005944659999999047
0,1,4,3,0.8,19.87,963.0,9900.0,50,55.0,0.800273829,0.0002738289999999477
0,1,4,12,0.8,11.61,1101.0,5310.0,50,31.5,0.800140969,0.00014096899999993528
0,1,4,7,0.8,25.9,1035.0,10170.0,38,56.5,0.800128721,0.0001287209999999428
0,1,4,8,0.8,25.9,1083.0,10170.0,38,56.5,0.800128721,0.0001287209999999428
0,1,4,6,0.8,11.61,910.0,4470.0,38,31.5,0.80007657,7.656999999994252e-05
0,1,4,10,0.75,28.08,1209.0,10530.0,45,58.5,0.750545455,0.000545455000000028
0,1,4,11,0.75,19.31,590.0,9900.0,45,55.0,0.750057851,5.7850999999997654e-05
0,0,4,8,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.681060606,-0.11893939400000009
0,1,4,5,0.65,21.98,808.0,10440.0,35,58.0,0.649983281,-1.6718999999998374e-05
0,0,4,7,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.61625,-0.18375000000000008
0,0,5,1,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.951420455,0.151420455
0,0,5,9,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.880530303,0.08053030299999997
0,1,5,1,0.8,26.16,1179.0,10620.0,75,59.0,0.850502311,0.05050231099999991
0,1,5,9,0.8,26.16,1324.0,10620.0,75,59.0,0.850502311,0.05050231099999991
0,1,5,8,0.8,25.9,1135.0,10170.0,60,56.5,0.850136766,0.050136765999999944
0,0,5,3,0.75,4.15,1190.4659913169319,2700.0,0,15.0,0.83,0.07999999999999996
0,0,5,4,0.8,3.94,1190.4659913169319,4440.0,0,18.0,0.827186544,0.02718654399999998
0,0,5,2,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.813371212,0.01337121199999991
0,0,5,10,0.75,3.94,1190.4659913169319,1440.0,0,8.0,0.805909091,0.055909090999999966
0,0,5,7,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.804640152,0.0046401520000000085
0,1,5,2,0.8,28.08,776.0,10350.0,63,57.5,0.800594466,0.0005944659999999047
0,1,5,4,0.8,28.08,990.0,10350.0,50,57.5,0.800594466,0.0005944659999999047
0,1,5,6,0.8,11.41,986.0,5490.0,50,30.5,0.800343766,0.0003437659999999676
0,1,5,3,0.8,19.87,924.0,9900.0,50,55.0,0.800273829,0.0002738289999999477
0,1,5,12,0.8,11.61,1120.0,5670.0,50,31.5,0.800246753,0.00024675299999998845
0,1,5,7,0.8,25.9,1066.0,10170.0,50,56.5,0.800128721,0.0001287209999999428
0,1,5,10,0.75,28.08,1144.0,10530.0,69,58.5,0.8,0.050000000000000044
0,1,5,5,0.7,21.98,413.0,9720.0,40,58.0,0.700480831,0.0004808310000000704
0,0,5,8,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.681060606,-0.11893939400000009
0,0,5,6,0.8,2.9,1190.4659913169319,1800.0,0,10.0,0.666515152,-0.13348484800000004
0,1,5,11,0.8,31.83,568.0,9900.0,40,55.0,0.4276613622499999,-0.37233863775000015
0,0,5,5,0.7,4.15,1190.4659913169319,1440.0,0,8.0,0.4276613622499999,-0.27233863775000006
1,0,3,1,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.947689394,0.14768939399999992
1,0,3,4,0.8,3.94,1190.4659913169319,12600.0,0,20.0,0.919905405,0.11990540499999991
1,1,3,9,0.8,26.16,1216.0,10620.0,88,59.0,0.900215716,0.10021571600000001
1,0,3,9,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.891723485,0.09172348499999994
1,1,3,1,0.8,26.16,1189.0,10620.0,75,59.0,0.850502311,0.05050231099999991
1,1,3,4,0.8,28.08,942.0,10530.0,75,58.5,0.850181818,0.05018181799999999
1,1,3,7,0.8,25.9,1050.0,10170.0,60,56.5,0.850136766,0.050136765999999944
1,1,3,8,0.8,25.9,1026.0,10170.0,60,56.5,0.850136766,0.050136765999999944
1,0,3,2,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.835757576,0.03575757599999996
1,0,3,5,0.7,4.15,1190.4659913169319,3840.0,0,8.0,0.821354167,0.12135416700000001
1,1,3,2,0.8,28.08,783.0,10050.0,63,58.5,0.800497246,0.0004972460000000067
1,1,3,3,0.8,19.87,857.0,9900.0,50,55.0,0.800273829,0.0002738289999999477
1,1,3,12,0.8,11.61,548.0,15090.0,63,31.5,0.800107143,0.00010714299999992072
1,1,3,6,0.8,11.41,411.0,14640.0,50,30.5,0.800024932,2.4931999999977528e-05
1,1,3,10,0.75,28.08,1066.0,10530.0,69,58.5,0.8,0.050000000000000044
1,0,3,10,0.75,3.94,1190.4659913169319,1440.0,0,8.0,0.779791667,0.02979166700000002
1,0,3,8,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.735984848,-0.06401515200000008
1,0,3,3,0.75,4.15,1190.4659913169319,2160.0,0,12.0,0.712626263,-0.03737373700000002
1,0,3,7,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.681060606,-0.11893939400000009
1,0,3,11,0.8,4.15,1190.4659913169319,900.0,0,5.0,0.515606061,-0.2843939390000001
1,1,3,5,0.7,42.41,724.0,10260.0,0,57.0,0.4276613622499999,-0.27233863775000006
1,0,1,1,0.8,3.94,1190.4659913169319,2160.0,0,8.0,0.985,0.18499999999999994
1,0,1,3,0.75,4.15,1190.4659913169319,2760.0,0,12.0,0.930340376,0.18034037599999997
1,0,1,4,0.8,3.94,1190.4659913169319,6000.0,0,20.0,0.911589744,0.11158974399999999
1,0,1,9,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.858143939,0.05814393899999992
1,1,1,9,0.8,26.16,1122.0,10620.0,75,59.0,0.851174114,0.05117411399999994
1,1,1,7,0.8,25.9,970.0,10170.0,60,56.5,0.850136766,0.050136765999999944
1,1,1,8,0.8,25.9,1158.0,10170.0,60,56.5,0.850136766,0.050136765999999944
1,0,1,10,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.846950758,0.046950757999999926
1,0,1,11,0.8,4.15,1190.4659913169319,1440.0,0,8.0,0.817424242,0.017424241999999923
1,0,1,2,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.817102273,0.017102273
1,1,1,4,0.8,28.08,660.0,10440.0,63,58.0,0.801028213,0.001028213
1,1,1,2,0.8,28.08,749.0,10350.0,63,57.5,0.800594466,0.0005944659999999047
1,1,1,12,0.8,11.61,893.0,4710.0,50,31.5,0.800346445,0.0003464449999999175
1,1,1,6,0.8,11.41,887.0,5490.0,50,30.5,0.800343766,0.0003437659999999676
1,1,1,1,0.8,26.16,1335.0,10620.0,63,59.0,0.800117103,0.00011710300000000728
1,1,1,10,0.8,28.08,1082.0,10530.0,63,58.5,0.8,0.0
1,1,1,3,0.75,19.87,1075.0,7080.0,45,56.0,0.750098351,9.835099999999652e-05
1,0,1,7,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.670075758,-0.12992424200000008
1,0,1,8,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.628882576,-0.17111742400000007
1,0,2,3,0.75,4.15,1190.4659913169319,1440.0,0,8.0,0.93532197,0.18532196999999995
1,0,2,4,0.8,3.94,1190.4659913169319,3600.0,0,20.0,0.925643939,0.12564393899999993
1,1,2,9,0.8,26.16,1095.0,10620.0,88,59.0,0.900215716,0.10021571600000001
1,0,2,1,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.873068182,0.07306818199999998
1,0,2,9,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.858143939,0.05814393899999992
1,1,2,1,0.8,26.16,1383.0,10620.0,75,59.0,0.850502311,0.05050231099999991
1,1,2,7,0.8,25.9,1012.0,10170.0,45,56.5,0.850136766,0.050136765999999944
1,1,2,8,0.8,25.9,1209.0,10170.0,60,56.5,0.850136766,0.050136765999999944
1,0,2,10,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.828295455,0.02829545499999997
1,0,2,2,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.820833333,0.02083333300000001
1,1,2,6,0.8,11.41,887.0,5490.0,50,30.5,0.800343766,0.0003437659999999676
1,1,2,12,0.8,11.61,896.0,5670.0,50,31.5,0.800246753,0.00024675299999998845
1,1,2,2,0.8,28.08,805.0,10530.0,63,58.5,0.8,0.0
1,1,2,10,0.8,28.08,762.0,10530.0,38,58.5,0.8,0.0
1,1,2,3,0.8,19.87,1043.0,6420.0,0,55.0,0.690182815,-0.10981718500000004
1,0,2,11,0.8,4.15,1190.4659913169319,1440.0,0,8.0,0.668087121,-0.13191287900000004
1,0,2,8,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.653598485,-0.1464015150000001
1,1,2,11,0.6,12.52,831.0,9540.0,30,53.0,0.600229846,0.000229845999999978
1,0,2,6,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.597348485,-0.202651515
1,0,2,7,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.590435606,-0.20956439400000004
1,1,2,4,0.8,50.48,562.0,10440.0,0,58.0,0.473134796,-0.326865204
1,1,2,5,0.6,20.79,1208.0,7980.0,0,57.0,0.452979626,-0.14702037399999995
1,0,0,1,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.955151515,0.1551515149999999
1,0,0,3,0.8,4.15,1190.4659913169319,1800.0,0,10.0,0.905454545,0.10545454499999996
1,0,0,2,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.880530303,0.08053030299999997
1,0,0,9,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.858143939,0.05814393899999992
1,1,0,1,0.8,26.16,1099.0,8220.0,75,59.0,0.850522167,0.05052216700000001
1,1,0,9,0.8,26.16,1093.0,10620.0,75,59.0,0.850502311,0.05050231099999991
1,1,0,7,0.8,25.9,1031.0,10170.0,60,56.5,0.850136766,0.050136765999999944
1,1,0,8,0.8,25.9,1233.0,10170.0,60,56.5,0.850136766,0.050136765999999944
1,0,0,6,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.817424242,0.017424241999999923
1,0,0,5,0.65,4.15,1190.4659913169319,1440.0,0,8.0,0.809564394,0.159564394
1,1,0,3,0.8,19.87,941.0,9900.0,0,55.0,0.800273829,0.0002738289999999477
1,1,0,6,0.8,11.41,843.0,5670.0,50,31.5,0.800181818,0.00018181799999994475
1,1,0,12,0.8,11.61,760.0,4470.0,50,31.5,0.80007657,7.656999999994252e-05
1,1,0,2,0.8,28.08,737.0,10530.0,63,58.5,0.8,0.0
1,0,0,8,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.725,-0.07500000000000007
1,1,0,10,0.8,50.48,381.0,6930.0,45,58.5,0.688557555,-0.111442445
1,1,0,5,0.65,20.79,1141.0,8460.0,0,59.0,0.650040783,4.078299999998869e-05
1,1,0,11,0.65,12.52,1004.0,9540.0,44,53.0,0.64998056,-1.9439999999981694e-05
1,0,0,7,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.648106061,-0.15189393900000003
1,0,0,11,0.8,4.15,1190.4659913169319,1440.0,0,8.0,0.640577652,-0.159422348
1,0,0,10,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.4276613622499999,-0.37233863775000015
1,0,4,1,0.8,3.94,1190.4659913169319,1440.0,0,2.0,0.951420455,0.151420455
1,0,4,10,0.8,3.94,1190.4659913169319,5400.0,0,20.0,0.912766667,0.11276666699999993
1,0,4,3,0.8,4.15,1190.4659913169319,1620.0,0,9.0,0.901262626,0.10126262599999991
1,0,4,9,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.858143939,0.05814393899999992
1,1,4,1,0.8,26.16,1073.0,10620.0,75,59.0,0.850502311,0.05050231099999991
1,1,4,9,0.8,26.16,1156.0,10620.0,75,59.0,0.850502311,0.05050231099999991
1,1,4,8,0.8,25.9,1211.0,10260.0,60,57.0,0.850252525,0.05025252499999999
1,1,4,7,0.8,25.9,1126.0,10170.0,60,56.5,0.850136766,0.050136765999999944
1,0,4,5,0.65,4.15,1190.4659913169319,1440.0,0,8.0,0.821354167,0.17135416699999995
1,0,4,2,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.805909091,0.005909090999999922
1,1,4,6,0.8,11.61,1004.0,5670.0,50,31.5,0.800246753,0.00024675299999998845
1,1,4,12,0.8,11.61,1063.0,5670.0,50,31.5,0.800246753,0.00024675299999998845
1,1,4,2,0.8,28.08,723.0,10530.0,50,58.5,0.8,0.0
1,1,4,3,0.8,42.27,465.0,9900.0,54,55.0,0.705576584,-0.09442341600000004
1,0,4,8,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.681060606,-0.11893939400000009
1,0,4,7,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.670075758,-0.12992424200000008
1,0,4,11,0.8,4.15,1190.4659913169319,1440.0,0,8.0,0.601278409,-0.1987215910000001
1,1,4,11,0.7,27.13,530.0,9540.0,37,53.0,0.582301029,-0.11769897099999993
1,1,4,5,0.7,20.79,1297.0,10440.0,0,58.0,0.526810345,-0.17318965499999994
1,0,5,11,0.8,4.15,1190.4659913169319,1980.0,0,7.0,0.934607438,0.13460743799999997
1,1,5,7,0.8,25.9,1150.0,10170.0,70,56.5,0.900144811,0.10014481099999994
1,0,5,1,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.891723485,0.09172348499999994
1,0,5,5,0.65,4.15,1190.4659913169319,1440.0,0,15.0,0.864583333,0.214583333
1,0,5,9,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.858143939,0.05814393899999992
1,1,5,9,0.8,26.16,1232.0,10620.0,75,59.0,0.850502311,0.05050231099999991
1,1,5,8,0.8,25.9,1218.0,10170.0,60,56.5,0.850136766,0.050136765999999944
1,0,5,7,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.837594697,0.037594696999999955
1,0,5,3,0.8,4.15,1190.4659913169319,1440.0,0,7.0,0.820833333,0.02083333300000001
1,1,5,12,0.8,11.61,1159.0,2970.0,50,31.5,0.800313433,0.0003134329999999741
1,1,5,6,0.8,11.61,972.0,5670.0,38,31.5,0.800246753,0.00024675299999998845
1,1,5,1,0.8,26.16,1092.0,10620.0,63,59.0,0.800117103,0.00011710300000000728
1,1,5,5,0.7,20.79,965.0,7320.0,0,58.0,0.700095563,9.556300000002071e-05
1,0,5,8,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.667329545,-0.13267045500000008
1,1,5,4,0.6,22.4,816.0,5100.0,23,57.0,0.600369686,0.0003696859999999802
1,0,5,10,0.8,3.94,1190.4659913169319,1260.0,0,8.0,0.4276613622499999,-0.37233863775000015
1,1,5,2,0.8,51.02,1086.0,4260.0,27,57.0,0.4276613622499999,-0.37233863775000015
1,0,5,2,0.8,3.94,1190.4659913169319,1260.0,0,8.0,0.4276613622499999,-0.37233863775000015
2,0,3,10,0.8,3.94,1190.4659913169319,3420.0,0,19.0,0.953110048,0.15311004799999994
2,0,3,1,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.884261364,0.08426136399999995
2,0,3,5,0.65,4.15,1190.4659913169319,1440.0,0,8.0,0.860653409,0.21065340899999996
2,0,3,9,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.858143939,0.05814393899999992
2,1,3,1,0.8,26.16,1160.0,10620.0,75,59.0,0.850502311,0.05050231099999991
2,1,3,8,0.8,25.9,1177.0,8970.0,60,56.5,0.850415628,0.05041562799999999
2,1,3,7,0.8,25.9,1281.0,10170.0,60,56.5,0.850136766,0.050136765999999944
2,1,3,9,0.8,26.16,1369.0,10620.0,63,59.0,0.800117103,0.00011710300000000728
2,1,3,6,0.8,11.61,1084.0,4950.0,38,31.5,0.80003139,3.13899999999645e-05
2,1,3,12,0.8,11.61,1216.0,4950.0,50,31.5,0.80003139,3.13899999999645e-05
2,1,3,5,0.7,20.79,391.0,10440.0,0,58.0,0.700060345,6.03450000000727e-05
2,0,3,7,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.689299242,-0.11070075800000001
2,1,3,4,0.65,22.52,872.0,10080.0,26,56.0,0.650130952,0.0001309520000000175
2,0,3,8,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.606912879,-0.19308712100000003
2,1,3,10,0.6,22.52,1076.0,10170.0,23,56.5,0.600291767,0.00029176699999999833
2,0,1,5,0.65,4.15,1190.4659913169319,2700.0,0,15.0,0.98719697,0.33719696999999993
2,0,1,2,0.8,3.94,1190.4659913169319,1800.0,0,10.0,0.980909091,0.18090909099999997
2,0,1,10,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.974621212,0.17462121199999991
2,0,1,1,0.8,3.94,1190.4659913169319,1440.0,0,8.0,0.884261364,0.08426136399999995
2,0,1,9,0.8,3.94,1190.4659913169319,1800.0,0,10.0,0.82680303,0.02680302999999995
2,1,1,6,0.8,11.41,1067.0,5490.0,63,30.5,0.800343766,0.0003437659999999676
2,1,1,12,0.8,11.61,1039.0,5670.0,63,31.5,0.800246753,0.00024675299999998845
2,1,1,7,0.8,25.9,1396.0,10170.0,50,56.5,0.800128721,0.0001287209999999428
2,1,1,8,0.8,25.9,1292.0,10170.0,50,56.5,0.800128721,0.0001287209999999428
2,1,1,1,0.8,48.68,171.0,10620.0,63,59.0,0.800117103,0.00011710300000000728
2,1,1,9,0.8,26.16,1128.0,10620.0,63,59.0,0.800117103,0.00011710300000000728
2,1,1,2,0.6,22.94,865.0,6570.0,23,56.5,0.77011398,0.17011398
2,1,1,4,0.7,22.52,825.0,10170.0,50,56.5,0.7005417,0.0005417000000000893
2,0,1,8,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.675568182,-0.12443181800000003
2,0,1,7,0.8,2.9,1190.4659913169319,1440.0,0,8.0,0.661837121,-0.13816287900000002
2,1,1,10,0.65,22.52,1163.0,9720.0,35,54.0,0.650198653,0.00019865299999999309
2,1,1,3,0.6,22.52,1140.0,10170.0,30,56.5,0.600291767,0.00029176699999999833
2,1,1,11,0.6,14.89,1027.0,10080.0,38,56.0,0.600273268,0.0002732680000000487
2,0,1,6,0.8,2.9,1190.4659913169319,900.0,0,5.0,0.465757576,-0.33424242400000004
2,1,1,5,0.7,41.19,1052.0,10440.0,21,58.0,0.452012539,-0.24798746099999996
2,0,1,11,0.8,4.15,1190.4659913169319,1260.0,0,7.0,0.4276613622499999,-0.37233863775000015
2,0,2,5,0.6,4.15,1190.4659913169319,1440.0,0,8.0,0.852793561,0.25279356100000006
2,0,2,11,0.65,4.15,1190.4659913169319,2160.0,0,12.0,0.838383838,0.18838383800000003
2,0,2,6,0.8,2.9,1190.4659913169319,1800.0,0,10.0,0.804848485,0.0048484849999999025
